ID,Nombre,Entrada,ID_Asiento,VIP
948,Asistente_948,si,171,no
949,Asistente_949,si,267,no
950,Asistente_950,si,862,si
951,Asistente_951,si,461,no
952,Asistente_952,si,379,no
953,Asistente_953,si,1227,no
954,Asistente_954,si,1355,no
955,Asistente_955,si,857,si
956,Asistente_956,si,448,no
957,Asistente_957,si,279,no
958,Asistente_958,no,,no
959,Asistente_959,no,,si
960,Asistente_960,si,1424,no
961,Asistente_961,si,671,no
962,Asistente_962,si,343,si
963,Asistente_963,si,790,si
964,Asistente_964,si,64,si
965,Asistente_965,no,,si
966,Asistente_966,si,1152,no
967,Asistente_967,no,,si
968,Asistente_968,si,1399,si
969,Asistente_969,no,,si
970,Asistente_970,no,,no
971,Asistente_971,si,779,no
972,Asistente_972,no,,si
973,Asistente_973,no,,si
974,Asistente_974,si,1757,no
975,Asistente_975,si,429,si
976,Asistente_976,si,699,si
977,Asistente_977,si,1799,no
978,Asistente_978,no,,si
979,Asistente_979,si,1814,si
980,Asistente_980,no,,no
981,Asistente_981,si,492,no
982,Asistente_982,no,,si
983,Asistente_983,no,,no
984,Asistente_984,si,73,no
985,Asistente_985,si,1575,no
986,Asistente_986,no,,si
987,Asistente_987,no,,si
988,Asistente_988,si,917,no
989,Asistente_989,no,,si
990,Asistente_990,no,,si
991,Asistente_991,si,393,no
992,Asistente_992,si,1344,no
993,Asistente_993,no,,no
994,Asistente_994,si,1388,no
995,Asistente_995,no,,no
996,Asistente_996,si,1663,si
997,Asistente_997,si,269,si
998,Asistente_998,si,529,no
999,Asistente_999,no,,si
1000,Asistente_1000,no,,no
